日経平均,日足,,,
日付,始値,高値,安値,終値
2012/8/23,9080.67,9194.47,9062.54,9178.12
2012/8/22,9150.69,9162.97,9075.08,9131.74
2012/8/21,9165.15,9196.67,9146.07,9156.92
2012/8/20,9202.36,9222.87,9150.79,9171.16
2012/8/17,9120.22,9181.57,9097,9162.5
2012/8/16,8967.11,9094.09,8962.97,9092.76
2012/8/15,8960.28,8960.28,8866.06,8925.04
2012/8/14,8913.7,8970.99,8897.87,8929.88
2012/8/13,8871.68,8906.21,8867.63,8885.15
2012/8/10,8931.92,8954.85,8857.23,8891.44
2012/8/9,8870.81,9004.81,8862.17,8978.6
2012/8/8,8889.38,8962.95,8851.59,8881.16
2012/8/7,8714.12,8812.42,8711.9,8803.31
2012/8/6,8683.2,8751.8,8676.25,8726.29
2012/8/3,8539.71,8565.06,8513.2,8555.11
2012/8/2,8642.89,8705.91,8635.51,8653.18
2012/8/1,8622.04,8654.61,8578.16,8641.85
2012/7/31,8600.92,8732.84,8585.26,8695.06
2012/7/30,8658.83,8663.3,8589.19,8635.44
2012/7/27,8547.34,8569.09,8522.74,8566.64
2012/7/26,8408.22,8448.55,8358.51,8443.1
2012/7/25,8410.98,8433.58,8328.02,8365.9
2012/7/24,8497.99,8517.52,8446.18,8488.09
2012/7/23,8582.28,8606.23,8500.27,8508.32
2012/7/20,8785.87,8792.19,8662.72,8669.87
2012/7/19,8795,8835.8,8771.19,8795.55
2012/7/18,8796.15,8802.09,8715.14,8726.74
2012/7/17,8740.98,8808.87,8711.73,8755
2012/7/13,8701.35,8759.06,8695.44,8724.12
2012/7/12,8859.39,8862.8,8709.75,8720.01
2012/7/11,8819.04,8851,8797.73,8851
2012/7/10,8922.03,8966.99,8855.93,8857.73
2012/7/9,8922.99,8954.44,8892.17,8896.88
2012/7/6,9052.7,9082.04,8977.35,9020.75
2012/7/5,9078.46,9130.54,9069.01,9079.8
2012/7/4,9119.69,9136.02,9095.31,9104.17
2012/7/3,9013.65,9082.39,9012.86,9066.59
2012/7/2,9103.79,9103.79,9003.48,9003.48
2012/6/29,8811.46,9044.04,8803.33,9006.78
2012/6/28,8816.07,8881.44,8805.65,8874.11
2012/6/27,8677.76,8730.49,8641.52,8730.49
2012/6/26,8671.61,8712.68,8619.36,8663.99
2012/6/25,8837.83,8837.83,8726.4,8734.62
2012/6/22,8733.5,8830.34,8731.79,8798.35
2012/6/21,8794.03,8859.04,8790.86,8824.07
2012/6/20,8739.1,8770.41,8711.22,8752.31
2012/6/19,8692.82,8712.86,8630.66,8655.87
2012/6/18,8723.55,8766.56,8711.49,8721.02
2012/6/15,8608.43,8625.19,8552.75,8569.32
2012/6/14,8531.4,8592.17,8520.99,8568.89
2012/6/13,8557.57,8615.89,8554.14,8587.84
2012/6/12,8478.78,8575.87,8452.5,8536.72
2012/6/11,8612.14,8665.8,8594.58,8624.9
2012/6/8,8609.78,8611.93,8427.2,8459.26
2012/6/7,8639.25,8647.79,8599.64,8639.72
2012/6/6,8428.36,8549,8412.55,8533.53
2012/6/5,8331.02,8388.14,8306.93,8382
2012/6/4,8278.65,8303.35,8238.96,8295.63
2012/6/1,8465.47,8487.44,8422.5,8440.25
2012/5/31,8499.68,8542.73,8455.13,8542.73
2012/5/30,8637.95,8656.71,8568.97,8633.19
2012/5/29,8565.56,8657.08,8517.18,8657.08
2012/5/28,8604.99,8624.51,8568.87,8593.15
2012/5/25,8616.85,8616.85,8550.93,8580.39
2012/5/24,8537.99,8597.85,8496.61,8563.38
2012/5/23,8715.14,8715.14,8538.69,8556.6
2012/5/22,8721.59,8740.48,8690.47,8729.29
2012/5/21,8617.92,8676.2,8608.62,8633.89
2012/5/18,8727.58,8735.54,8588.16,8611.31
2012/5/17,8789.47,8885.08,8765.71,8876.59
2012/5/16,8865.78,8883.73,8756.07,8801.17
2012/5/15,8910.85,8930.78,8838.78,8900.74
2012/5/14,8986.22,9031.09,8947.82,8973.84
2012/5/11,9019.4,9050.61,8944.63,8953.31
2012/5/10,9013.26,9075.63,8985.9,9009.65
2012/5/9,9112.72,9115.94,9021.2,9045.06
2012/5/8,9190.5,9207.56,9159.47,9181.65
2012/5/7,9198.17,9206.45,9109.01,9119.14
2012/5/2,9397.87,9417.96,9344.53,9380.25
2012/5/1,9471.66,9472.25,9332.79,9350.95
2012/4/27,9564.4,9691.7,9463.6,9520.89
2012/4/26,9613.16,9630.97,9531.03,9561.83
2012/4/25,9578.42,9582.73,9530.02,9561.01
2012/4/24,9466.08,9510.7,9423.3,9468.04
2012/4/23,9599.2,9643.27,9520.98,9542.17
2012/4/20,9574.99,9580.87,9532.68,9561.36
2012/4/19,9578.68,9617.93,9565.83,9588.38
2012/4/18,9594.3,9682.88,9594.3,9667.26
2012/4/17,9476.15,9519.8,9455.32,9464.71
2012/4/16,9522.7,9532.91,9464.49,9470.64
2012/4/13,9613.19,9690.29,9603.97,9637.99
2012/4/12,9486.19,9541.04,9449.49,9524.79
2012/4/11,9398.6,9487.84,9388.14,9458.74
2012/4/10,9583.36,9648.12,9509.72,9538.02
2012/4/9,9565.31,9618.1,9535.33,9546.26
2012/4/6,9710.25,9739.59,9659.16,9688.45
2012/4/5,9737.5,9806.4,9692.7,9767.61
2012/4/4,10045.88,10059.19,9819.99,9819.99
2012/4/3,10082.21,10084.07,10040.99,10050.39
2012/4/2,10161.72,10190.35,10109.87,10109.87
2012/3/30,10089.1,10111.09,10033.19,10083.56
2012/3/29,10134.78,10147.04,10084.77,10114.79
2012/3/28,10153.51,10197.8,10124.28,10182.57
2012/3/27,10152.9,10255.15,10152.25,10255.15
2012/3/26,10040.1,10056.2,10016.05,10018.24
2012/3/23,10014.87,10031.96,9999.37,10011.47
2012/3/22,10055.16,10136.85,10052.5,10127.08
2012/3/21,10100.87,10132.02,10073.9,10086.49
2012/3/19,10150.85,10172.64,10134.48,10141.99
2012/3/16,10110.57,10148.47,10090.09,10129.83
2012/3/15,10115.4,10158.74,10077.55,10123.28
2012/3/14,10064.12,10115.79,10050.52,10050.52
2012/3/13,9921.25,10011.88,9888.3,9899.08
2012/3/12,10015.92,10021.51,9889.86,9889.86
2012/3/9,9911.07,10007.62,9853.18,9929.74
2012/3/8,9674.94,9768.96,9659.15,9768.96
2012/3/7,9509.1,9603.19,9509.1,9576.06
2012/3/6,9704.61,9732.89,9602.84,9637.63
2012/3/5,9756.98,9792.14,9673.75,9698.59
2012/3/2,9797.05,9803.75,9729.24,9777.03
2012/3/1,9771.34,9865.75,9666.02,9707.37
2012/2/29,9771.62,9866.41,9706.22,9723.24
2012/2/28,9567.12,9722.52,9528.77,9722.52
2012/2/27,9726.2,9736.11,9628.25,9633.93
2012/2/24,9594.85,9647.38,9576.21,9647.38
2012/2/23,9549.77,9609.84,9513.65,9595.57
2012/2/22,9459.74,9564.05,9442.58,9554
2012/2/21,9458.68,9517.04,9440.41,9463.02
2012/2/20,9534.03,9549.31,9462.67,9485.09
2012/2/17,9371.12,9435.03,9369.25,9384.17
2012/2/16,9232.38,9308.93,9214.23,9238.1
2012/2/15,9108.84,9314.37,9107.68,9260.34
2012/2/14,8978.72,9072.08,8972.74,9052.07
2012/2/13,8954.03,9023.5,8948.54,8999.18
2012/2/10,9010.53,9016.97,8947.17,8947.17
2012/2/9,8996.13,9018.49,8942.87,9002.24
2012/2/8,8971.88,9015.59,8956.78,9015.59
2012/2/7,8904.16,8928.44,8887.19,8917.52
2012/2/6,8939.99,8949.32,8916.94,8929.2
2012/2/3,8849.17,8877.57,8825.98,8831.93
2012/2/2,8865.28,8893.22,8849.25,8876.82
2012/2/1,8789.06,8830.28,8780.1,8809.79
2012/1/31,8781.44,8836.68,8776.65,8802.51
2012/1/30,8803.79,8832.48,8774.23,8793.05
2012/1/27,8851.02,8886.02,8810.89,8841.22
2012/1/26,8890.49,8894.6,8834.93,8849.47
2012/1/25,8842.01,8911.62,8816.09,8883.69
2012/1/24,8815.36,8825.09,8768.51,8785.33
